condition,lambda_language_alignment,seed,metric,published,recomputed,abs_diff
align000,0.0,6,cross_language_top1_id_accuracy_en_to_de,0.9315589353612167,0.9315589353612167,0.0
align000,0.0,6,cross_language_mrr_de_to_en,0.9569074778200253,0.9569074778200253,0.0
align000,0.0,6,cross_language_mrr_en_to_de,0.9640367553865651,0.9640367553865651,0.0
align000,0.0,6,mean_cross_language_parent_child_distance,6.142891011486164,6.142891011486164,0.0
align000,0.0,6,mean_parent_child_distance,6.1412319075854525,6.1412319075854525,0.0
align000,0.0,6,mean_sibling_distance,1.7897685851369585,1.7897685851369585,0.0
align000,0.0,6,mean_unrelated_distance,5.822840489758738,5.822840489758738,0.0
align000,0.0,7,mean_same_id_cross_language_distance,0.7704516919790112,0.7704516919790112,0.0
align000,0.0,7,cross_language_top1_id_accuracy,0.9258555133079848,0.9258555133079848,0.0
align000,0.0,7,cross_language_mrr,0.9598067173637516,0.9598067173637516,0.0
align000,0.0,7,cross_language_top1_id_accuracy_de_to_en,0.9334600760456274,0.9334600760456274,0.0
align000,0.0,7,cross_language_top1_id_accuracy_en_to_de,0.9182509505703422,0.9182509505703422,0.0
align000,0.0,7,cross_language_mrr_de_to_en,0.9630544993662864,0.9630544993662864,0.0
align000,0.0,7,cross_language_mrr_en_to_de,0.9565589353612167,0.9565589353612167,0.0
align000,0.0,7,mean_cross_language_parent_child_distance,6.2237289794837345,6.2237289794837345,0.0
align000,0.0,7,mean_parent_child_distance,6.221014902541174,6.221014902541174,0.0
align000,0.0,7,mean_sibling_distance,1.8053510698018136,1.8053510698018136,0.0
align000,0.0,7,mean_unrelated_distance,5.814127013937148,5.814127013937148,0.0
align000,0.0,8,mean_same_id_cross_language_distance,0.7565206067757008,0.7565206067757008,0.0
align000,0.0,8,cross_language_top1_id_accuracy,0.9448669201520913,0.9448669201520913,0.0
align000,0.0,8,cross_language_mrr,0.9698193916349812,0.9698193916349812,0.0
align000,0.0,8,cross_language_top1_id_accuracy_de_to_en,0.9448669201520913,0.9448669201520913,0.0
align000,0.0,8,cross_language_top1_id_accuracy_en_to_de,0.9448669201520913,0.9448669201520913,0.0
align000,0.0,8,cross_language_mrr_de_to_en,0.969740177439797,0.969740177439797,0.0
align000,0.0,8,cross_language_mrr_en_to_de,0.9698986058301647,0.9698986058301647,0.0
align000,0.0,8,mean_cross_language_parent_child_distance,6.319221709964363,6.319221709964363,0.0
align000,0.0,8,mean_parent_child_distance,6.3164175792466235,6.3164175792466235,0.0
align000,0.0,8,mean_sibling_distance,1.8265503909422722,1.8265503909422722,0.0
align000,0.0,8,mean_unrelated_distance,5.968122534935465,5.968122534935465,0.0
align000,0.0,9,mean_same_id_cross_language_distance,0.7690920436563601,0.7690920436563601,0.0
align000,0.0,9,cross_language_top1_id_accuracy,0.9230038022813688,0.9230038022813688,0.0
align000,0.0,9,cross_language_mrr,0.9584917617237009,0.9584917617237009,0.0
align000,0.0,9,cross_language_top1_id_accuracy_de_to_en,0.9182509505703422,0.9182509505703422,0.0
align000,0.0,9,cross_language_top1_id_accuracy_en_to_de,0.9277566539923955,0.9277566539923955,0.0
align000,0.0,9,cross_language_mrr_de_to_en,0.9562737642585551,0.9562737642585551,0.0
align000,0.0,9,cross_language_mrr_en_to_de,0.9607097591888466,0.9607097591888466,0.0
align000,0.0,9,mean_cross_language_parent_child_distance,6.00434728555367,6.00434728555367,0.0
align000,0.0,9,mean_parent_child_distance,6.001499199913186,6.001499199913186,0.0
align000,0.0,9,mean_sibling_distance,1.8433354204738295,1.8433354204738295,0.0
align000,0.0,9,mean_unrelated_distance,5.7805030517591725,5.7805030517591725,0.0
align003,0.03,0,mean_same_id_cross_language_distance,0.7128329456645727,0.7128329456645727,0.0
align003,0.03,0,cross_language_top1_id_accuracy,0.9553231939163498,0.9553231939163498,0.0
align003,0.03,0,cross_language_mrr,0.9773447401774399,0.9773447401774399,0.0
align003,0.03,0,cross_language_top1_id_accuracy_de_to_en,0.9543726235741445,0.9543726235741445,0.0
align003,0.03,0,cross_language_top1_id_accuracy_en_to_de,0.9562737642585551,0.9562737642585551,0.0
align003,0.03,0,cross_language_mrr_de_to_en,0.9771863117870723,0.9771863117870723,0.0
align003,0.03,0,cross_language_mrr_en_to_de,0.9775031685678073,0.9775031685678073,0.0
align003,0.03,0,mean_cross_language_parent_child_distance,6.090872376870099,6.090872376870099,0.0
align003,0.03,0,mean_parent_child_distance,6.0888881883180215,6.0888881883180215,0.0
align003,0.03,0,mean_sibling_distance,1.7934647061866082,1.7934647061866082,0.0
align003,0.03,0,mean_unrelated_distance,5.785230572685996,5.785230572685996,0.0
align003,0.03,1,mean_same_id_cross_language_distance,0.7714072516889173,0.7714072516889173,0.0
align003,0.03,1,cross_language_top1_id_accuracy,0.9363117870722434,0.9363117870722434,0.0
align003,0.03,1,cross_language_mrr,0.9660171102661597,0.9660171102661597,0.0
align003,0.03,1,cross_language_top1_id_accuracy_de_to_en,0.935361216730038,0.935361216730038,0.0
align003,0.03,1,cross_language_top1_id_accuracy_en_to_de,0.9372623574144486,0.9372623574144486,0.0
align003,0.03,1,cross_language_mrr_de_to_en,0.9665716096324461,0.9665716096324461,0.0
align003,0.03,1,cross_language_mrr_en_to_de,0.9654626108998733,0.9654626108998733,0.0
align003,0.03,1,mean_cross_language_parent_child_distance,6.167555896303328,6.167555896303328,0.0
align003,0.03,1,mean_parent_child_distance,6.165808036377894,6.165808036377894,0.0
align003,0.03,1,mean_sibling_distance,1.8090929658317463,1.8090929658317463,0.0
align003,0.03,1,mean_unrelated_distance,5.9054139301804085,5.9054139301804085,0.0
align003,0.03,2,mean_same_id_cross_language_distance,0.7389096708352122,0.7389096708352122,0.0
align003,0.03,2,cross_language_top1_id_accuracy,0.9429657794676806,0.9429657794676806,0.0
align003,0.03,2,cross_language_mrr,0.9698510773130545,0.9698510773130545,0.0
align003,0.03,2,cross_language_top1_id_accuracy_de_to_en,0.9372623574144486,0.9372623574144486,0.0
align003,0.03,2,cross_language_top1_id_accuracy_en_to_de,0.9486692015209125,0.9486692015209125,0.0
align003,0.03,2,cross_language_mrr_de_to_en,0.967680608365019,0.967680608365019,0.0
align003,0.03,2,cross_language_mrr_en_to_de,0.9720215462610899,0.9720215462610899,0.0
align003,0.03,2,mean_cross_language_parent_child_distance,6.253041089385001,6.253041089385001,0.0
align003,0.03,2,mean_parent_child_distance,6.2520307270318325,6.2520307270318325,0.0
align003,0.03,2,mean_sibling_distance,1.7709784426472404,1.7709784426472404,0.0
align003,0.03,2,mean_unrelated_distance,5.803616245946503,5.803616245946503,0.0
align003,0.03,3,mean_same_id_cross_language_distance,0.7703501991785978,0.7703501991785978,0.0
align003,0.03,3,cross_language_top1_id_accuracy,0.9182509505703422,0.9182509505703422,0.0
align003,0.03,3,cross_language_mrr,0.9565906210392903,0.9565906210392903,0.0
align003,0.03,3,cross_language_top1_id_accuracy_de_to_en,0.908745247148289,0.908745247148289,0.0
align003,0.03,3,cross_language_top1_id_accuracy_en_to_de,0.9277566539923955,0.9277566539923955,0.0
align003,0.03,3,cross_language_mrr_de_to_en,0.9519961977186312,0.9519961977186312,0.0
align003,0.03,3,cross_language_mrr_en_to_de,0.9611850443599492,0.9611850443599492,0.0
align003,0.03,3,mean_cross_language_parent_child_distance,6.3572343567203236,6.3572343567203236,0.0
align003,0.03,3,mean_parent_child_distance,6.3548955131817415,6.3548955131817415,0.0
align003,0.03,3,mean_sibling_distance,1.7794549779974538,1.7794549779974538,0.0
align003,0.03,3,mean_unrelated_distance,5.873105697135508,5.873105697135508,0.0
align003,0.03,4,mean_same_id_cross_language_distance,0.7439219533490591,0.7439219533490591,0.0
align003,0.03,4,cross_language_top1_id_accuracy,0.9363117870722434,0.9363117870722434,0.0
align003,0.03,4,cross_language_mrr,0.9660171102661599,0.9660171102661599,0.0
align003,0.03,4,cross_language_top1_id_accuracy_de_to_en,0.9391634980988594,0.9391634980988594,0.0
align003,0.03,4,cross_language_top1_id_accuracy_en_to_de,0.9334600760456274,0.9334600760456274,0.0
align003,0.03,4,cross_language_mrr_de_to_en,0.9679974651457539,0.9679974651457539,0.0
align003,0.03,4,cross_language_mrr_en_to_de,0.9640367553865652,0.9640367553865652,0.0
align003,0.03,4,mean_cross_language_parent_child_distance,6.296239590828589,6.296239590828589,0.0
align003,0.03,4,mean_parent_child_distance,6.293814318487869,6.293814318487869,0.0
align003,0.03,4,mean_sibling_distance,1.8390998393297195,1.8390998393297195,0.0
align003,0.03,4,mean_unrelated_distance,5.838700377669171,5.838700377669171,0.0
align003,0.03,5,mean_same_id_cross_language_distance,0.7576596354180416,0.7576596354180416,0.0
align003,0.03,5,cross_language_top1_id_accuracy,0.9401140684410646,0.9401140684410646,0.0
align003,0.03,5,cross_language_mrr,0.9694233206590621,0.9694233206590621,0.0
align003,0.03,5,cross_language_top1_id_accuracy_de_to_en,0.9429657794676806,0.9429657794676806,0.0
align003,0.03,5,cross_language_top1_id_accuracy_en_to_de,0.9372623574144486,0.9372623574144486,0.0
align003,0.03,5,cross_language_mrr_de_to_en,0.9711660329531051,0.9711660329531051,0.0
align003,0.03,5,cross_language_mrr_en_to_de,0.9676806083650189,0.9676806083650189,0.0
align003,0.03,5,mean_cross_language_parent_child_distance,6.235940603162512,6.235940603162512,0.0
align003,0.03,5,mean_parent_child_distance,6.2327320019863475,6.2327320019863475,0.0
align003,0.03,5,mean_sibling_distance,1.7780245232246654,1.7780245232246654,0.0
align003,0.03,5,mean_unrelated_distance,5.742570745401056,5.742570745401056,0.0
align003,0.03,6,mean_same_id_cross_language_distance,0.7361232685952133,0.7361232685952133,0.0
align003,0.03,6,cross_language_top1_id_accuracy,0.9344106463878327,0.9344106463878327,0.0
align003,0.03,6,cross_language_mrr,0.9645437262357415,0.9645437262357415,0.0
align003,0.03,6,cross_language_top1_id_accuracy_de_to_en,0.9277566539923955,0.9277566539923955,0.0
align003,0.03,6,cross_language_top1_id_accuracy_en_to_de,0.94106463878327,0.94106463878327,0.0
