condition,lambda_language_alignment,seed,published_mean_same_id_cross_language_distance,recomputed_published_definition,posterior_mean_euclidean_distance,posterior_mean_mse_distance,same_id_pair_count_directional,uses_cached_or_recomputed_posterior_mean,sampled_latent_distance,sampled_latent_note,max_abs_diff_cached_latent_vs_checkpoint_mu
align030,0.3,7,0.9491435528481414,0.9491435528481414,0.9491435528481414,0.15637647626149564,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align030,0.3,8,0.9993066173542589,0.9993066173542589,0.9993066173542589,0.17687097468020344,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align030,0.3,9,0.9978468966574723,0.9978468966574723,0.9978468966574723,0.16993333773197034,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,0,1.142304027148526,1.142304027148526,1.142304027148526,0.19303155362698118,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,1,1.2270049658451696,1.2270049658451696,1.2270049658451696,0.23365776376717304,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,2,1.1919405228058195,1.1919405228058195,1.1919405228058195,0.21679408343494674,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,3,1.1942260271016183,1.1942260271016183,1.1942260271016183,0.2178888238236988,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,4,1.2186765387767622,1.2186765387767622,1.2186765387767622,0.23336819550305776,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,5,1.1787355560880197,1.1787355560880197,1.1787355560880197,0.21614771189359316,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,6,1.1514206281066395,1.1514206281066395,1.1514206281066395,0.2012829448896754,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,7,1.2211888327684692,1.2211888327684692,1.2211888327684692,0.2295270764672626,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,8,1.2750466198522328,1.2750466198522328,1.2750466198522328,0.2506807472471842,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align100,1.0,9,1.1694951129673552,1.1694951129673552,1.1694951129673552,0.2022138352571374,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
